layer,feature_id,original_direction,stop_rate_safe_safe,stop_rate_safe_risky,delta_stop_safe,p_safe,risk_increasing_by_binary,stop_rate_risky_safe,stop_rate_risky_risky,delta_stop_risky,p_risky,risk_decreasing_by_binary
30,15877,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,8794,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24448,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,822,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,20269,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,8999,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,4113,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,5511,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,26136,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,28753,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,18100,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,16810,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24959,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,1141,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,4022,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,14307,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,19175,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,18141,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,23664,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,12127,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,32208,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,1463,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24187,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,6780,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,28337,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,6285,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,9786,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,24654,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,18742,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,27044,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,9908,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
30,2580,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
