feature,safe_stop_delta,safe_bankruptcy_delta,safe_risky_stop_delta,safe_avg_bet_delta,risky_stop_delta,risky_bankruptcy_delta,risky_risky_stop_delta,risky_avg_bet_delta,classified_as
L30-31204,0.3,-0.2,0.26666666666666666,-19.166666666666668,0.5333333333333333,0.0,0.06666666666666668,-11.466666666666669,safe
L30-31422,-0.03333333333333333,-0.13333333333333336,0.0,-10.666666666666668,0.005128205128205131,-0.2597701149425288,0.034482758620689655,-12.137931034482758,neutral
L30-32329,0.0,-0.09999999999999998,0.1,-6.833333333333336,0.0,-0.23333333333333328,0.06666666666666667,-14.000000000000004,neutral
L30-3239,0.09999999999999998,0.03333333333333338,0.033333333333333326,-3.0,0.23333333333333334,0.06666666666666671,0.0,0.16666666666666785,neutral
L30-32421,0.4,-0.10000000000000003,0.033333333333333326,-6.0,0.4666666666666667,-0.2,0.0,-8.333333333333332,safe
L30-32650,0.0,0.13333333333333336,0.06666666666666667,4.333333333333332,0.0,0.08045977011494254,0.06896551724137931,-0.862068965517242,neutral
L30-3269,0.30000000000000004,-0.16666666666666669,0.1,-7.166666666666668,0.43333333333333335,0.0,0.1,7.0,safe
L30-3475,0.0,-0.033333333333333326,0.1,-3.466666666666665,0.0,0.033333333333333326,0.0,4.0000000000000036,neutral
L30-3656,,-0.09999999999999998,0.0,-2.5,,-0.16666666666666669,0.13333333333333333,-8.833333333333332,neutral
L30-3823,0.0,0.033333333333333326,0.13333333333333333,-11.766666666666666,0.0,0.16666666666666663,0.0,-4.166666666666664,neutral
L30-4100,0.4,0.03333333333333338,0.16666666666666666,-6.333333333333332,0.3666666666666667,0.03333333333333338,0.033333333333333354,1.5,neutral
L30-4305,0.003703703703703702,-0.033333333333333326,0.06666666666666667,-12.5,0.035632183908045977,0.09999999999999998,0.03333333333333333,-3.0,safe
L30-4335,0.26666666666666666,-0.06666666666666671,0.06666666666666665,0.6666666666666643,0.26666666666666666,0.16666666666666663,0.06666666666666665,11.666666666666664,safe
L30-4555,,-0.033333333333333326,0.13333333333333333,5.333333333333336,,0.06666666666666665,0.0,6.600000000000001,neutral
L30-4594,0.23333333333333336,0.0,-0.06666666666666668,5.666666666666668,0.33333333333333337,-0.033333333333333326,0.033333333333333326,3.833333333333332,neutral
L30-461,0.3,-0.033333333333333326,0.033333333333333326,-12.833333333333332,0.033333333333333326,-0.13333333333333336,0.033333333333333326,-18.166666666666668,safe
L30-4828,-0.03333333333333333,-0.23333333333333328,0.03333333333333333,-14.133333333333333,-0.03333333333333333,-0.19999999999999996,0.13333333333333333,-20.333333333333332,neutral
L30-4926,0.2666666666666667,0.033333333333333326,0.033333333333333326,-4.166666666666668,0.4,0.16666666666666669,-0.16666666666666669,8.666666666666668,neutral
L30-5000,-0.03333333333333333,0.0,0.03333333333333333,3.0,0.008333333333333331,0.0,0.06666666666666667,-4.833333333333332,neutral
L30-5014,-0.03333333333333333,-0.047126436781609216,0.06666666666666667,-0.7816091954022966,0.0023809523809523794,0.019540229885057492,0.06666666666666667,2.7183908045977034,neutral
L30-5052,0.3,0.1333333333333333,0.09999999999999999,-6.166666666666664,0.4,0.0,0.16666666666666669,-10.666666666666664,neutral
L30-512,0.13333333333333333,-0.033333333333333326,0.06666666666666668,-0.3000000000000007,0.2666666666666667,0.0,0.06666666666666668,-3.0,safe
L30-5237,0.4,-0.13333333333333336,0.1,-6.5,0.3666666666666667,0.0,0.033333333333333354,-5.166666666666668,safe
L30-5365,,-0.4,0.2333333333333333,-32.0,,-0.16666666666666663,0.06666666666666665,-22.499999999999996,neutral
L30-5516,0.3333333333333333,-0.09999999999999998,0.06666666666666668,-0.6666666666666679,0.16666666666666669,-0.3333333333333333,0.13333333333333333,-13.1,safe
L30-5685,0.0,0.020689655172413834,0.1,-10.235632183908049,0.0,0.020689655172413834,0.03333333333333333,-5.068965517241381,neutral
L30-5750,0.0,-0.09999999999999998,0.1,-15.000000000000004,0.10344827586206896,-0.033333333333333326,0.1,-8.000000000000004,neutral
L30-5800,0.43333333333333335,-0.26666666666666666,0.13333333333333336,-8.833333333333336,0.5,-0.10000000000000003,0.16666666666666669,-7.133333333333333,safe
L30-636,,0.16666666666666669,0.033333333333333326,0.466666666666665,,0.2,-0.033333333333333326,3.0,neutral
L30-6374,0.26666666666666666,0.0,0.06666666666666665,-3.666666666666668,0.26666666666666666,0.06666666666666665,0.1333333333333333,-3.333333333333332,neutral
L30-6387,0.26666666666666666,-0.10000000000000003,-0.06666666666666665,3.1666666666666643,0.16666666666666669,-0.06666666666666665,0.06666666666666668,-2.8333333333333357,safe
L30-6497,0.23333333333333336,-0.033333333333333326,-0.033333333333333354,1.1666666666666643,0.2666666666666667,0.13333333333333336,0.033333333333333326,2.5,safe
L30-671,0.16666666666666669,-0.4,0.13333333333333333,-25.333333333333336,0.23333333333333334,-0.16666666666666663,0.06666666666666665,-14.166666666666668,safe
L30-6710,0.23333333333333334,-0.06666666666666665,0.16666666666666669,-2.1666666666666643,0.2,-0.06666666666666665,0.13333333333333336,-5.766666666666666,safe
L30-6821,-0.03333333333333333,-0.46666666666666673,0.06666666666666667,-21.833333333333332,0.0023809523809523794,-0.3666666666666667,0.06666666666666667,-11.666666666666668,neutral
L30-683,,0.06666666666666665,0.1,0.33333333333333215,,0.06666666666666665,0.06666666666666668,-1.6666666666666679,neutral
L30-7183,0.4,-0.2,-0.06666666666666668,-11.333333333333332,0.30000000000000004,-0.2,0.06666666666666665,-16.5,safe
L30-7254,0.06666666666666671,-0.09999999999999998,0.2333333333333333,-5.0,0.13333333333333336,-0.06666666666666665,0.1,-10.333333333333332,safe
L30-7255,0.26666666666666666,-0.19999999999999996,0.1,-12.000000000000004,0.3,-0.09999999999999998,0.13333333333333333,-5.5,safe
L30-7680,0.003703703703703702,-0.033333333333333326,0.03333333333333333,4.833333333333332,0.03809523809523809,0.0,0.1,11.866666666666664,safe
L30-7748,0.43333333333333335,0.0,0.033333333333333326,0.9000000000000021,0.19999999999999998,-0.13333333333333336,0.0,2.5,neutral
L30-7758,0.43333333333333335,-0.23333333333333334,0.2,-9.0,0.30000000000000004,-0.23333333333333334,0.13333333333333336,-1.5,safe
L30-7912,,0.033333333333333326,0.1,-6.0,,0.09999999999999998,0.16666666666666669,-8.5,neutral
L30-8068,0.16666666666666669,-0.13333333333333336,0.13333333333333333,-9.833333333333332,0.26666666666666666,-0.16666666666666669,0.2,-13.166666666666666,safe
L30-8168,-0.03333333333333333,-0.033333333333333326,0.1,-18.000000000000004,0.03809523809523809,-0.09999999999999998,0.06666666666666667,-19.166666666666668,neutral
L30-8289,0.23333333333333334,0.1333333333333333,0.2,0.33333333333333215,0.06666666666666665,-0.06666666666666671,0.23333333333333334,-8.833333333333332,neutral
L30-8350,0.3,-0.1333333333333333,0.2,-10.833333333333336,0.4666666666666667,-0.3,0.23333333333333334,-17.833333333333336,safe
L30-8387,-0.03333333333333333,-0.033333333333333326,0.03333333333333333,5.0,-0.03333333333333333,-0.019540229885057492,0.10344827586206896,-2.316091954022987,neutral
L30-850,0.0,-0.16666666666666669,0.03333333333333333,-11.0,0.03333333333333333,0.1333333333333333,0.06666666666666667,1.8333333333333357,neutral
L30-8571,0.2666666666666667,0.0,-0.13333333333333333,1.3333333333333321,0.4,-0.13333333333333336,0.09999999999999998,-7.866666666666667,neutral
L30-8697,0.03571428571428571,-0.11149425287356324,0.13333333333333333,-12.06896551724138,0.037037037037037035,0.05517241379310345,0.03333333333333333,-3.068965517241381,safe
L30-8900,0.0,0.1333333333333333,0.03333333333333333,1.1666666666666679,0.0,0.09999999999999998,0.06666666666666667,8.7,neutral
L30-8999,0.034482758620689655,-0.1528735632183908,0.06896551724137931,-9.540229885057474,0.03571428571428571,-0.2,0.1,-16.166666666666668,safe
L30-9151,0.4666666666666667,-0.033333333333333326,0.0,-6.833333333333332,0.4666666666666667,0.0,0.0,1.1666666666666679,safe
L30-954,0.30000000000000004,0.0,0.13333333333333333,-1.5,0.43333333333333335,0.13333333333333336,0.13333333333333333,8.166666666666668,neutral
L30-9603,,-0.10000000000000003,0.19999999999999998,-15.966666666666665,,-0.16666666666666669,0.19999999999999998,-17.5,neutral
L30-9704,,0.13333333333333336,0.0,16.833333333333332,,0.033333333333333326,0.1,0.0,neutral
L30-9716,0.06666666666666665,0.033333333333333326,0.06666666666666665,1.0,0.13333333333333336,0.0,0.033333333333333326,-1.5,neutral
L30-9988,0.0023809523809523794,-0.23333333333333328,0.03333333333333333,-17.333333333333332,0.0023809523809523794,-0.16666666666666663,0.1,-12.166666666666668,safe
L31-10036,0.9,-0.5333333333333333,0.6333333333333334,-25.666666666666664,0.9,-0.5666666666666667,0.7333333333333334,-29.133333333333333,safe
L31-10725,0.8333333333333334,-0.4666666666666667,0.6666666666666666,-30.133333333333333,0.8333333333333334,-0.5,0.7666666666666667,-34.0,safe
L31-11142,,-0.4,0.6333333333333334,-28.5,,-0.3666666666666667,0.5666666666666667,-25.3,neutral
L31-11256,0.9,-0.30000000000000004,0.6666666666666667,-2.9333333333333336,0.9,-0.33333333333333337,0.6333333333333333,-5.6,safe
L31-11548,0.9666666666666667,-0.26666666666666666,0.6000000000000001,-17.133333333333333,0.9666666666666667,-0.23333333333333334,0.5333333333333334,-13.5,safe
L31-11564,,-0.2777777777777778,0.0,2.722222222222225,,-0.33333333333333337,0.0,-2.1666666666666643,neutral
L31-11663,,-0.13248638838475502,0.0,12.085299455535388,,-0.02722323049001818,0.0,21.190562613430128,neutral
L31-11974,0.7333333333333334,-0.26666666666666666,0.5666666666666667,-18.5,0.7333333333333334,-0.26666666666666666,0.7000000000000001,-19.299999999999997,safe
L31-12321,,-0.6333333333333333,0.7333333333333334,-34.233333333333334,,-0.5,0.6333333333333333,-20.96666666666667,neutral
L31-12352,,0.07083333333333336,0.0,26.541666666666668,,-0.08888888888888885,0.0,12.666666666666668,neutral
L31-1254,,-0.37684729064039413,0.0,-18.258620689655174,,-0.27180527383367137,0.0,-8.405679513184587,neutral
L31-12810,0.8666666666666667,-0.3333333333333333,0.7333333333333334,-20.96666666666667,0.8666666666666667,-0.3333333333333333,0.6,-19.933333333333334,safe
L31-1287,0.6666666666666667,-0.5666666666666667,0.6666666666666667,-30.8,0.6666666666666667,-0.3333333333333333,0.6,-8.833333333333336,safe
L31-13177,,-0.10000000000000003,0.0,8.033333333333335,,-0.05833333333333335,0.0,12.104166666666668,neutral
